rank	URI	name	Linked Institution	P	P_top	PP_top
251	http://dbpedia.org/resource/Virginia_Commonwealth_University	Virginia Commonwealth University	Virginia Commonwealth University	3228	348	10,8%
252	http://dbpedia.org/resource/Tilburg_University	Tilburg University	Tilburg University	1157	124	10,7%
253	http://dbpedia.org/resource/Georgia_Health_Sciences_University	Georgia Health Sciences University	Georgia Health Sciences University	1268	136	10,7%
254	http://dbpedia.org/resource/University_of_Tennessee	University of Tennessee, Knoxville	University of Tennessee, Knoxville	4664	500	10,7%
255	http://dbpedia.org/resource/Grenoble_Institute_of_Technology	Grenoble INP	Grenoble INP	1046	112	10,7%
256	http://dbpedia.org/resource/Paris_12_Val_de_Marne_University	University Paris-Est Creteil Val de Marne	University Paris-Est Creteil Val de Marne	1549	165	10,7%
257	http://dbpedia.org/resource/University_of_Iowa	Iowa State University	Iowa State University	4820	512	10,6%
258	http://dbpedia.org/resource/Innsbruck_Medical_University	Innsbruck Medical University	Innsbruck Medical University	1553	165	10,6%
259	http://dbpedia.org/resource/University_of_Connecticut	University of Connecticut	University of Connecticut	4992	530	10,6%
260	http://dbpedia.org/resource/University_of_Central_Florida	University of Central Florida	University of Central Florida	2365	251	10,6%
261	http://dbpedia.org/resource/Chinese_University_of_Hong_Kong	Chinese University of Hong Kong	Chinese University of Hong Kong	5172	548	10,6%
262	http://dbpedia.org/resource/University_of_L%C3%BCbeck	University of Lübeck	University of Lübeck	1554	164	10,6%
263	http://dbpedia.org/resource/University_of_Burgundy	University of Burgundy	University of Burgundy	1445	153	10,6%
264	http://dbpedia.org/resource/Tsinghua_University	Tsinghua University	Tsinghua University	9713	1025	10,6%
265	http://dbpedia.org/resource/Lund_University	Lund University	Lund University	6041	638	10,6%
266	http://dbpedia.org/resource/Ruhr_University_Bochum	Ruhr-University Bochum	Ruhr-University Bochum	3425	361	10,5%
267	http://dbpedia.org/resource/Simon_Fraser_University	Simon Fraser University	Simon Fraser University	2525	266	10,5%
268	http://dbpedia.org/resource/University_of_Georgia	University of Georgia	University of Georgia	4679	493	10,5%
269	http://dbpedia.org/resource/University_of_Helsinki	University of Helsinki	University of Helsinki	6318	664	10,5%
270	http://dbpedia.org/resource/East_China_University_of_Science_and_Technology	East China University of Science and Technology	East China University of Science and Technology	3554	373	10,5%
271	http://dbpedia.org/resource/University_of_Innsbruck	Leopold Franzens University of Innsbruck	Leopold Franzens University of Innsbruck	1566	164	10,5%
272	http://dbpedia.org/resource/University_of_Auckland	University of Auckland	University of Auckland	3882	407	10,5%
273	http://dbpedia.org/resource/University_of_Nebraska%E2%80%93Lincoln	University of Nebraska, Lincoln	University of Nebraska, Lincoln	2880	302	10,5%
274	http://dbpedia.org/resource/University_of_Toulouse	Paul Sabatier University	Paul Sabatier University	4514	472	10,5%
275	http://dbpedia.org/resource/Aalborg_University	Aalborg University	Aalborg University	1348	141	10,5%
276	http://dbpedia.org/resource/University_of_Waterloo	University of Waterloo	University of Waterloo	4754	497	10,5%
277	http://dbpedia.org/resource/Dresden_University_of_Technology	Technische Universität Dresden	Technische Universität Dresden	3673	384	10,5%
278	http://dbpedia.org/resource/University_of_Arkansas_for_Medical_Sciences	University of Arkansas for Medical Sciences, Little Rock	University of Arkansas for Medical Sciences, Little Rock	1382	144	10,4%
279	http://dbpedia.org/resource/University_of_Duisburg-Essen	University of Duisburg-Essen	University of Duisburg-Essen	2799	292	10,4%
280	http://dbpedia.org/resource/University_of_Potsdam	Universität Potsdam	Universität Potsdam	1251	130	10,4%
281	http://dbpedia.org/resource/University_of_Jena	Friedrich-Schiller-Universität Jena	Friedrich-Schiller-Universität Jena	3384	352	10,4%
282	http://dbpedia.org/resource/Vienna_University_of_Technology	Vienna University of Technology	Vienna University of Technology	2092	217	10,4%
283	http://dbpedia.org/resource/KAIST	Korea Advanced Institute of Science and Technology	Korea Advanced Institute of Science and Technology	4791	493	10,3%
284	http://dbpedia.org/resource/Deakin_University	Deakin University	Deakin University	1650	170	10,3%
285	http://dbpedia.org/resource/University_of_Montreal	University of Montreal	University of Montreal	6669	686	10,3%
286	http://dbpedia.org/resource/University_at_Buffalo,_The_State_University_of_New_York	University at Buffalo, The State University of New York	University at Buffalo, The State University of New York	4086	420	10,3%
287	http://dbpedia.org/resource/Hannover_Medical_School	Hannover Medical School	Hannover Medical School	2408	247	10,3%
288	http://dbpedia.org/resource/Aix-Marseille_University	Aix-Marseille University	Aix-Marseille University	5094	522	10,3%
289	http://dbpedia.org/resource/University_of_Kentucky	University of Kentucky	University of Kentucky	4851	497	10,3%
290	http://dbpedia.org/resource/University_of_Florida	University of Florida	University of Florida	11022	1129	10,2%
291	http://dbpedia.org/resource/Wayne_State_University	Wayne State University	Wayne State University	3860	395	10,2%
292	http://dbpedia.org/resource/Queen's_University_Belfast	Queen's University Belfast	Queen's University Belfast	2773	283	10,2%
293	http://dbpedia.org/resource/Xiamen_University	Xiamen University	Xiamen University	3419	348	10,2%
294	http://dbpedia.org/resource/University_of_Verona	University of Verona	University of Verona	1361	138	10,2%
295	http://dbpedia.org/resource/University_of_Hanover	Gottfried Wilhelm Leibniz Universität Hannover	Gottfried Wilhelm Leibniz Universität Hannover	1776	181	10,2%
296	http://dbpedia.org/resource/Macquarie_University	Macquarie University	Macquarie University	1898	193	10,2%
297	http://dbpedia.org/resource/Uppsala_University	Uppsala University	Uppsala University	5239	532	10,2%
298	http://dbpedia.org/resource/University_College_Dublin	University College Dublin	University College Dublin	3265	331	10,1%
299	http://dbpedia.org/resource/University_of_Houston	University of Houston	University of Houston	2366	240	10,1%
300	http://dbpedia.org/resource/University_of_Nevada,_Reno	University of Nevada, Reno	University of Nevada, Reno	1333	135	10,1%
301	http://dbpedia.org/resource/Laval_University	Laval University	Laval University	3797	384	10,1%
302	http://dbpedia.org/resource/University_of_Montana	Montana State University	Montana State University	1093	110	10,1%
303	http://dbpedia.org/resource/University_of_Rennes_1	University of Rennes I	University of Rennes I	2179	220	10,1%
304	http://dbpedia.org/resource/Lille_University_of_Science_and_Technology	Lille University of Science and Technology	Lille University of Science and Technology	1276	129	10,1%
305	http://dbpedia.org/resource/University_of_Medicine_and_Dentistry_of_New_Jersey	University of Medicine and Dentistry of New Jersey	University of Medicine and Dentistry of New Jersey	2748	277	10,1%
306	http://dbpedia.org/resource/Ewha_Womans_University	Ewha Womans University	Ewha Womans University	1661	167	10,1%
307	http://dbpedia.org/resource/Utah_State_University	Utah State University	Utah State University	1611	162	10,0%
308	http://dbpedia.org/resource/Hong_Kong_Polytechnic_University	Hong Kong Polytechnic University	Hong Kong Polytechnic University	4250	426	10,0%
309	http://dbpedia.org/resource/Indiana_University_%E2%80%93_Purdue_University_Indianapolis	Indiana University - Purdue University Indianapolis	Indiana University - Purdue University Indianapolis	4143	416	10,0%
310	http://dbpedia.org/resource/Chalmers_University_of_Technology	Chalmers University of Technology	Chalmers University of Technology	2173	218	10,0%
311	http://dbpedia.org/resource/University_of_South_Florida	University of South Florida, Tampa	University of South Florida, Tampa	3764	377	10,0%
312	http://dbpedia.org/resource/University_of_Illinois_at_Chicago	University of Illinois, Chicago	University of Illinois, Chicago	5224	523	10,0%
313	http://dbpedia.org/resource/South_China_University_of_Technology	South China University of Technology	South China University of Technology	3543	354	10,0%
314	http://dbpedia.org/resource/University_of_Wollongong	University of Wollongong	University of Wollongong	2012	201	10,0%
315	http://dbpedia.org/resource/Medical_College_of_Wisconsin	Medical College of Wisconsin	Medical College of Wisconsin	2223	222	10,0%
316	http://dbpedia.org/resource/University_of_T%C3%BCbingen	University of Tübingen	University of Tübingen	4455	444	10,0%
317	http://dbpedia.org/resource/University_of_Oslo	University of Oslo	University of Oslo	5948	592	9,9%
318	http://dbpedia.org/resource/University_of_Troms%C3%B8	University of Tromsø	University of Tromsø	1473	146	9,9%
319	http://dbpedia.org/resource/University_of_Greifswald	Ernst Moritz Arndt University of Greifswald	Ernst Moritz Arndt University of Greifswald	1291	128	9,9%
320	http://dbpedia.org/resource/University_of_Wisconsin%E2%80%93Milwaukee	University of Wiscousin, Milwaukee	University of Wiscousin, Milwaukee	1484	147	9,9%
321	http://dbpedia.org/resource/Lanzhou_University	Lanzhou University	Lanzhou University	3585	354	9,9%
322	http://dbpedia.org/resource/University_of_Manitoba	University of Manitoba	University of Manitoba	3432	339	9,9%
323	http://dbpedia.org/resource/Kent_State_University	Kent State University	Kent State University	1089	108	9,9%
324	http://dbpedia.org/resource/Queen's_University	Queen's University	Queen's University	3494	345	9,9%
325	http://dbpedia.org/resource/University_of_Missouri	University of Missouri, Columbia	University of Missouri, Columbia	4210	415	9,8%
326	http://dbpedia.org/resource/University_of_Western_Australia	University of Western Australia	University of Western Australia	4509	443	9,8%
327	http://dbpedia.org/resource/North_Carolina_State_University	North Carolina State University	North Carolina State University	5126	503	9,8%
328	http://dbpedia.org/resource/George_Washington_University	George Washington University	George Washington University	2431	238	9,8%
329	http://dbpedia.org/resource/HEC_Management_School_%E2%80%93_University_of_Li%C3%A8ge	University of Liège	University of Liège	2591	253	9,8%
330	http://dbpedia.org/resource/University_of_Alberta	University of Alberta	University of Alberta	8904	871	9,8%
331	http://dbpedia.org/resource/Norwegian_University_of_Science_and_Technology	Norwegian University of Science and Technology	Norwegian University of Science and Technology	3659	358	9,8%
332	http://dbpedia.org/resource/University_of_Oklahoma	University of Oklahoma	University of Oklahoma	3570	349	9,8%
333	http://dbpedia.org/resource/University_of_Crete	University of Crete	University of Crete	1395	136	9,8%
334	http://dbpedia.org/resource/University_of_Vermont	University of Vermont	University of Vermont	1881	184	9,8%
335	http://dbpedia.org/resource/Donghua_University	Donghua University	Donghua University	1439	140	9,8%
336	http://dbpedia.org/resource/Bielefeld_University	University of Bielefeld	University of Bielefeld	1458	142	9,7%
337	http://dbpedia.org/resource/Ume%C3%A5_University	Umeå University	Umeå University	2517	245	9,7%
338	http://dbpedia.org/resource/University_of_Wyoming	University of Wyoming	University of Wyoming	1269	123	9,7%
339	http://dbpedia.org/resource/Technische_Universit%C3%A4t_Darmstadt	Technische Universität Darmstadt	Technische Universität Darmstadt	2119	206	9,7%
340	http://dbpedia.org/resource/University_of_Milan	University of Milan	University of Milan	5367	522	9,7%
341	http://dbpedia.org/resource/University_of_Perugia	University of Perugia	University of Perugia	1924	187	9,7%
342	http://dbpedia.org/resource/University_of_Tokyo	University of Tokyo	University of Tokyo	14339	1389	9,7%
343	http://dbpedia.org/resource/University_of_Western_Sydney	University of Western Sydney	University of Western Sydney	1075	104	9,7%
344	http://dbpedia.org/resource/University_of_Milan_Bicocca	University of Milan Bicocca	University of Milan Bicocca	1799	174	9,7%
345	http://dbpedia.org/resource/Saarland_University	Saarland University	Saarland University	1999	193	9,7%
346	http://dbpedia.org/resource/University_of_Kent	University of Kent	University of Kent	1101	106	9,6%
347	http://dbpedia.org/resource/George_Mason_University	George Mason University	George Mason University	1621	156	9,6%
348	http://dbpedia.org/resource/Aalto_University	Aalto University	Aalto University	2443	235	9,6%
349	http://dbpedia.org/resource/Northeast_Normal_University	Northeast Normal University	Northeast Normal University	1595	153	9,6%
350	http://dbpedia.org/resource/Dalhousie_University	Dalhousie University	Dalhousie University	3206	307	9,6%
351	http://dbpedia.org/resource/Fudan_University	Fudan University	Fudan University	8183	784	9,6%
352	http://dbpedia.org/resource/New_York_University	York University	York University	1986	190	9,6%
353	http://dbpedia.org/resource/Saint_Louis_University	St Louis University	St Louis University	1430	136	9,5%
354	http://dbpedia.org/resource/Temple_University	Temple University	Temple University	2442	233	9,5%
355	http://dbpedia.org/resource/Beijing_University_of_Posts_and_Telecommunications	Beijing University of Posts & Telecommunications	Beijing University of Posts & Telecommunications	1027	98	9,5%
356	http://dbpedia.org/resource/University_of_Ferrara	University of Ferrara	University of Ferrara	1362	130	9,5%
357	http://dbpedia.org/resource/Vrije_Universiteit_Brussel	Vrije Universiteit Brussel	Vrije Universiteit Brussel	2018	192	9,5%
358	http://dbpedia.org/resource/Xidian_University	Xidian University	Xidian University	1737	165	9,5%
359	http://dbpedia.org/resource/Peking_University	Peking University	Peking University	9534	906	9,5%
360	http://dbpedia.org/resource/Cranfield_University	Cranfield University	Cranfield University	1144	109	9,5%
361	http://dbpedia.org/resource/University_of_Trieste	University of Trieste	University of Trieste	1157	110	9,5%
362	http://dbpedia.org/resource/Open_University	Open University	Open University	1041	99	9,5%
363	http://dbpedia.org/resource/Royal_Institute_of_Technology	KTH Royal Institute of Technology	KTH Royal Institute of Technology	3510	332	9,5%
364	http://dbpedia.org/resource/University_of_Kansas	University of Kansas	University of Kansas	4058	384	9,5%
365	http://dbpedia.org/resource/Hong_Kong_Baptist_University	Hong Kong Baptist University	Hong Kong Baptist University	1142	108	9,5%
366	http://dbpedia.org/resource/Swedish_University_of_Agricultural_Sciences	Swedish University of Agricultural Sciences	Swedish University of Agricultural Sciences	2178	206	9,4%
367	http://dbpedia.org/resource/University_of_Tasmania	University of Tasmania	University of Tasmania	1548	146	9,4%
368	http://dbpedia.org/resource/University_of_Leipzig	Leipzig University	Leipzig University	2881	272	9,4%
369	http://dbpedia.org/resource/Politecnico_di_Milano	Politecnico di Milano	Politecnico di Milano	2817	266	9,4%
370	http://dbpedia.org/resource/University_of_Louisville	University of Louisville	University of Louisville	2527	238	9,4%
371	http://dbpedia.org/resource/University_of_Pavia	University of Pavia	University of Pavia	2039	192	9,4%
372	http://dbpedia.org/resource/Dalian_University_of_Technology	Dalian University of Technology	Dalian University of Technology	4570	428	9,4%
373	http://dbpedia.org/resource/Flinders_University	University of South Australia	University of South Australia	1596	149	9,3%
374	http://dbpedia.org/resource/University_of_Pittsburgh	Western University	Western University	5825	544	9,3%
375	http://dbpedia.org/resource/University_of_Florence	University of Florence	University of Florence	3901	364	9,3%
376	http://dbpedia.org/resource/%C3%89cole_Polytechnique_de_Montr%C3%A9al	Polytechnique de Montréal	Polytechnique de Montréal	1224	114	9,3%
377	http://dbpedia.org/resource/University_of_Bergen	University of Bergen	University of Bergen	3079	287	9,3%
378	http://dbpedia.org/resource/Curtin_University	Curtin University	Curtin University	2042	190	9,3%
379	http://dbpedia.org/resource/University_of_Minho	University of Minho	University of Minho	1628	152	9,3%
380	http://dbpedia.org/resource/Washington_State_University	Washington State University	Washington State University	3238	302	9,3%
381	http://dbpedia.org/resource/University_of_Strathclyde	University of Strathclyde	University of Strathclyde	2199	204	9,3%
382	http://dbpedia.org/resource/Brescia_University_College	University of Brescia	University of Brescia	1164	108	9,3%
383	http://dbpedia.org/resource/Polytechnic_University_of_Valencia	Universitat Politècnica de València	Universitat Politècnica de València	2955	274	9,3%
384	http://dbpedia.org/resource/University_of_Turku	University of Turku	University of Turku	2330	216	9,3%
385	http://dbpedia.org/resource/Virginia_Polytechnic_Institute_and_State_University	Virginia Polytechnic Institute and State University	Virginia Polytechnic Institute and State University	4628	428	9,3%
386	http://dbpedia.org/resource/Braunschweig_University_of_Technology	Technische Universität Braunschweig	Technische Universität Braunschweig	1346	124	9,2%
387	http://dbpedia.org/resource/University_of_Akron	University of Akron	University of Akron	1065	98	9,2%
388	http://dbpedia.org/resource/East_China_Normal_University	East China Normal University	East China Normal University	2236	206	9,2%
389	http://dbpedia.org/resource/Nanjing_University_of_Science_and_Technology	Nanjing University of Science and Technology	Nanjing University of Science and Technology	1566	144	9,2%
390	http://dbpedia.org/resource/Link%C3%B6ping_University	Linköping University	Linköping University	2609	239	9,2%
391	http://dbpedia.org/resource/Heriot-Watt_University	Heriot-Watt University of Edinburgh	Heriot-Watt University of Edinburgh	1139	104	9,2%
392	http://dbpedia.org/resource/Nanjing_University	Nanjing University	Nanjing University	6502	595	9,1%
393	http://dbpedia.org/resource/Beijing_Institute_of_Technology	Beijing Institute of Technology - BIT	Beijing Institute of Technology - BIT	2008	184	9,1%
394	http://dbpedia.org/resource/Autonomous_University_of_Madrid	Universidad Autonoma de Madrid	Universidad Autonoma de Madrid	3231	295	9,1%
395	http://dbpedia.org/resource/Catholic_University_of_Cordoba	University of Córdoba	University of Córdoba	1329	121	9,1%
396	http://dbpedia.org/resource/Drexel_University	Drexel University	Drexel University	2359	215	9,1%
397	http://dbpedia.org/resource/Autonomous_University_of_Barcelona	Universidad Autonoma de Barcelona	Universidad Autonoma de Barcelona	4510	410	9,1%
398	http://dbpedia.org/resource/Polytechnic_University_of_Turin	Polytechnic University of Turin	Polytechnic University of Turin	2314	210	9,1%
399	http://dbpedia.org/resource/University_of_Surrey	University of Surrey	University of Surrey	1640	149	9,1%
400	http://dbpedia.org/resource/Charles_III_University_of_Madrid	Charles III University of Madrid	Charles III University of Madrid	1204	108	9,0%
401	http://dbpedia.org/resource/University_of_Vigo	University of Vigo	University of Vigo	1781	160	9,0%
402	http://dbpedia.org/resource/University_of_Eastern_Finland	University of Eastern Finland	University of Eastern Finland	1987	178	9,0%
403	http://dbpedia.org/resource/University_of_Giessen	Giessen University	Giessen University	2257	202	9,0%
404	http://dbpedia.org/resource/New_University_of_Lisbon	Universidade Nova de Lisboa	Universidade Nova de Lisboa	1693	151	8,9%
405	http://dbpedia.org/resource/University_of_Rostock	University of Rostock	University of Rostock	2026	181	8,9%
406	http://dbpedia.org/resource/Clemson_University	Clemson University	Clemson University	2211	197	8,9%
407	http://dbpedia.org/resource/Technion	Technion - Israel Institute of Technology	Technion - Israel Institute of Technology	4469	398	8,9%
408	http://dbpedia.org/resource/University_of_Salerno	University of Salerno	University of Salerno	1305	116	8,9%
409	http://dbpedia.org/resource/Beijing_University_of_Chemical_Technology	Beijing University of Chemical Technology	Beijing University of Chemical Technology	2082	185	8,9%
410	http://dbpedia.org/resource/University_of_Texas_at_San_Antonio	University of Texas, San Antonio	University of Texas, San Antonio	1114	99	8,9%
411	http://dbpedia.org/resource/National_Tsing_Hua_University	National Tsing Hua University	National Tsing Hua University	3381	300	8,9%
412	http://dbpedia.org/resource/Loughborough_University	Loughborough University	Loughborough University	2118	188	8,9%
413	http://dbpedia.org/resource/University_of_Padua	University of Padova	University of Padova	5820	516	8,9%
414	http://dbpedia.org/resource/Soochow_University_(Suzhou)	Soochow University	Soochow University	3035	269	8,9%
415	http://dbpedia.org/resource/Griffith_University	Griffith University	Griffith University	2086	184	8,8%
416	http://dbpedia.org/resource/Florida_International_University	Florida International University	Florida International University	1497	132	8,8%
417	http://dbpedia.org/resource/Northeastern_University_(China)	Northeastern University, China	Northeastern University, China	1546	136	8,8%
418	http://dbpedia.org/resource/Indian_Institute_of_Technology_Roorkee	Indian Institute of Technology Roorkee	Indian Institute of Technology Roorkee	1446	126	8,7%
419	http://dbpedia.org/resource/University_of_Bologna	University of Bologna	University of Bologna	5732	498	8,7%
420	http://dbpedia.org/resource/Massey_University	Massey University	Massey University	1626	141	8,7%
421	http://dbpedia.org/resource/University_of_Guelph	University of Guelph	University of Guelph	3077	267	8,7%
422	http://dbpedia.org/resource/Graz_University_of_Technology	Technical University of Graz	Technical University of Graz	1048	91	8,7%
423	http://dbpedia.org/resource/Kyoto_University	Kyoto University	Kyoto University	11358	982	8,6%
424	http://dbpedia.org/resource/Memorial_University_of_Newfoundland	Memorial University of Newfoundland	Memorial University of Newfoundland	1458	126	8,6%
425	http://dbpedia.org/resource/Harbin_Institute_of_Technology	Harbin Institute of Technology	Harbin Institute of Technology	6047	522	8,6%
426	http://dbpedia.org/resource/King_Abdulaziz_University	King Abdulaziz University	King Abdulaziz University	1153	99	8,6%
427	http://dbpedia.org/resource/Southeast_University	Southeast University	Southeast University	4068	349	8,6%
428	http://dbpedia.org/resource/University_of_Valencia	University of Valencia	University of Valencia	3534	304	8,6%
429	http://dbpedia.org/resource/Nanjing_University_of_Aeronautics_and_Astronautics	Nanjing University of Aeronautics and Astronautics - NUAA	Nanjing University of Aeronautics and Astronautics - NUAA	1599	137	8,6%
430	http://dbpedia.org/resource/University_of_Parma	University of Parma	University of Parma	1734	149	8,6%
431	http://dbpedia.org/resource/University_of_M%C3%A1laga	University of Málaga	University of Málaga	1330	114	8,6%
432	http://dbpedia.org/resource/University_of_Turin	University of Torino	University of Torino	3994	342	8,6%
433	http://dbpedia.org/resource/University_of_Lorraine	University of Lorraine	University of Lorraine	3044	260	8,5%
434	http://dbpedia.org/resource/University_of_Jyv%C3%A4skyl%C3%A4	University of Jyväskylä	University of Jyväskylä	1392	119	8,5%
435	http://dbpedia.org/resource/Medical_University_of_Graz	Medical University of Graz	Medical University of Graz	1302	111	8,5%
436	http://dbpedia.org/resource/University_of_Puerto_Rico	University of Porto	University of Porto	4450	379	8,5%
437	http://dbpedia.org/resource/University_of_Poitiers	University of Poitiers	University of Poitiers	1165	99	8,5%
438	http://dbpedia.org/resource/Louisiana_State_University	Louisiana State University	Louisiana State University	3420	291	8,5%
439	http://dbpedia.org/resource/Shanghai_University	Shanghai University	Shanghai University	2630	223	8,5%
440	http://dbpedia.org/resource/University_of_Bremen	University of Bremen	University of Bremen	1464	124	8,5%
441	http://dbpedia.org/resource/University_of_Santiago_de_Compostela	University of Santiago de Compostela	University of Santiago de Compostela	2775	235	8,5%
442	http://dbpedia.org/resource/Kansas_State_University	Kansas State University	Kansas State University	2311	196	8,5%
443	http://dbpedia.org/resource/Swansea_University	Swansea University	Swansea University	1464	124	8,4%
444	http://dbpedia.org/resource/University_of_Toledo	University of Toledo	University of Toledo	1340	113	8,4%
445	http://dbpedia.org/resource/Carleton_College	University of Carleton	University of Carleton	1677	141	8,4%
446	http://dbpedia.org/resource/University_of_Aveiro	University of Aveiro	University of Aveiro	2288	192	8,4%
447	http://dbpedia.org/resource/RMIT_University	Royal Melbourne Institute of Technology	Royal Melbourne Institute of Technology	1356	114	8,4%
448	http://dbpedia.org/resource/University_of_Granada	Universidad de Granada	Universidad de Granada	3519	295	8,4%
449	http://dbpedia.org/resource/Concordia_University	Concordia University	Concordia University	1682	141	8,4%
450	http://dbpedia.org/resource/University_of_Ioannina	University of Ioannina	University of Ioannina	1430	120	8,4%
451	http://dbpedia.org/resource/Loyola_University_Chicago	Loyola University Chicago	Loyola University Chicago	1219	102	8,4%
452	http://dbpedia.org/resource/Marche_Polytechnic_University	Università Politecnica delle Marche	Università Politecnica delle Marche	1194	100	8,4%
453	http://dbpedia.org/resource/Sun_Yat-sen_University	Sun Yat-sen University	Sun Yat-sen University	6725	563	8,4%
454	http://dbpedia.org/resource/National_Technical_University_of_Athens	National Technical University of Athens	National Technical University of Athens	2053	172	8,4%
455	http://dbpedia.org/resource/University_of_Navarra	University of Navarra	University of Navarra	1282	107	8,3%
456	http://dbpedia.org/resource/Gwangju_Institute_of_Science_and_Technology	Gwangju Institute of Science & Technology	Gwangju Institute of Science & Technology	1372	114	8,3%
457	http://dbpedia.org/resource/University_of_Texas_at_Arlington	University of Texas, Arlington	University of Texas, Arlington	1367	114	8,3%
458	http://dbpedia.org/resource/Otto-von-Guericke_University_Magdeburg	Otto-von-Guericke University Magdeburg	Otto-von-Guericke University Magdeburg	1373	114	8,3%
459	http://dbpedia.org/resource/University_of_Halle-Wittenberg	Martin Luther University of Halle-Wittenberg	Martin Luther University of Halle-Wittenberg	1930	160	8,3%
460	http://dbpedia.org/resource/Beijing_Normal_University	Beijing Normal University	Beijing Normal University	2548	211	8,3%
461	http://dbpedia.org/resource/Amirkabir_University_of_Technology	Amirkabir University of Technology	Amirkabir University of Technology	2447	203	8,3%
462	http://dbpedia.org/resource/National_Chiao_Tung_University	National Chiao Tung University	National Chiao Tung University	3980	330	8,3%
463	http://dbpedia.org/resource/University_of_Zaragoza	University of Zaragoza	University of Zaragoza	2874	238	8,3%
464	http://dbpedia.org/resource/Zhejiang_University	Zhejiang University	Zhejiang University	12342	1018	8,3%
465	http://dbpedia.org/resource/Tianjin_University	Tianjin University	Tianjin University	3472	286	8,2%
466	http://dbpedia.org/resource/La_Trobe_University	La Trobe University	La Trobe University	1408	116	8,2%
467	http://dbpedia.org/resource/University_of_Arkansas	University of Arkansas, Fayetteville	University of Arkansas, Fayetteville	1493	123	8,2%
468	http://dbpedia.org/resource/Zhejiang_Normal_University	Zhejiang Normal University	Zhejiang Normal University	1019	83	8,2%
469	http://dbpedia.org/resource/Wuhan_University	Wuhan University	Wuhan University	4291	351	8,2%
470	http://dbpedia.org/resource/Southwestern_University_of_Finance_and_Economics	Southwest University	Southwest University	1388	113	8,2%
471	http://dbpedia.org/resource/Beihang_University	Beihang University	Beihang University	2899	236	8,2%
472	http://dbpedia.org/resource/University_of_Mississippi	University of Mississippi	University of Mississippi	1798	146	8,1%
473	http://dbpedia.org/resource/University_of_Alicante	University of Alicante	University of Alicante	1364	111	8,1%
474	http://dbpedia.org/resource/University_of_Pisa	University of Pisa	University of Pisa	3618	295	8,1%
475	http://dbpedia.org/resource/University_of_Oulu	University of Oulu	University of Oulu	1921	156	8,1%
476	http://dbpedia.org/resource/Technical_University_of_Dortmund	Technische Universität Dortmund	Technische Universität Dortmund	1370	111	8,1%
477	http://dbpedia.org/resource/University_of_Missouri%E2%80%93Kansas_City	University of Missouri, Kansas City	University of Missouri, Kansas City	1040	84	8,1%
478	http://dbpedia.org/resource/Queensland_University_of_Technology	Queensland University of Technology	Queensland University of Technology	2227	179	8,1%
479	http://dbpedia.org/resource/Osaka_University	Osaka University	Osaka University	9001	724	8,0%
480	http://dbpedia.org/resource/Jilin_University	Jilin University	Jilin University	5802	466	8,0%
481	http://dbpedia.org/resource/Stellenbosch_University	Stellenbosch University	Stellenbosch University	1826	146	8,0%
482	http://dbpedia.org/resource/University_of_Tampere	University of Tampere	University of Tampere	1280	102	8,0%
483	http://dbpedia.org/resource/Brigham_Young_University	Brigham Young University	Brigham Young University	1814	145	8,0%
484	http://dbpedia.org/resource/Nagoya_University	Nagoya University	Nagoya University	5349	427	8,0%
485	http://dbpedia.org/resource/University_of_Nantes	University of Nantes	University of Nantes	1553	124	8,0%
486	http://dbpedia.org/resource/Seconda_Universit%C3%A0_degli_Studi_di_Napoli	Second University of Naples	Second University of Naples	1394	111	8,0%
487	http://dbpedia.org/resource/Shanghai_Jiao_Tong_University	Shanghai Jiao Tong University	Shanghai Jiao Tong University	11164	887	7,9%
488	http://dbpedia.org/resource/Ohio_University	Ohio University	Ohio University	1069	85	7,9%
489	http://dbpedia.org/resource/Universit%C3%A0_Cattolica_del_Sacro_Cuore	Universita Cattolica del Sacro Cuore	Universita Cattolica del Sacro Cuore	2527	200	7,9%
490	http://dbpedia.org/resource/Polytechnic_University_of_Catalonia	Universitat Politècnica de Catalunya	Universitat Politècnica de Catalunya	2959	234	7,9%
491	http://dbpedia.org/resource/University_of_Alabama	University of Alabama, Tuscaloosa	University of Alabama, Tuscaloosa	1400	110	7,9%
492	http://dbpedia.org/resource/University_of_Tabriz	University of Tabriz	University of Tabriz	1018	80	7,9%
493	http://dbpedia.org/resource/University_of_Seville	University of Seville	University of Seville	2961	233	7,9%
494	http://dbpedia.org/resource/University_of_Modena_and_Reggio_Emilia	University of Modena and Reggio Emilia	University of Modena and Reggio Emilia	1661	131	7,9%
495	http://dbpedia.org/resource/West_Virginia_University	West Virginia University	West Virginia University	2045	161	7,9%
496	http://dbpedia.org/resource/Complutense_University_of_Madrid	Complutense University	Complutense University	4244	329	7,8%
497	http://dbpedia.org/resource/Oklahoma_State_University%E2%80%93Stillwater	Oklahoma State University - Stillwater	Oklahoma State University - Stillwater	1775	138	7,8%
498	http://dbpedia.org/resource/University_of_Catania	University of Catania	University of Catania	2182	168	7,7%
499	http://dbpedia.org/resource/Tel_Aviv_University	Tel Aviv University	Tel Aviv University	7181	554	7,7%
500	http://dbpedia.org/resource/Sapienza_University_of_Rome	Sapienza University of Rome	Sapienza University of Rome	6876	529	7,7%
501	http://dbpedia.org/resource/Istanbul_Technical_University	Istanbul Technical University	Istanbul Technical University	1525	117	7,7%
