rank	URI	name	Linked Institution	P	P_top	PP_top
58	http://dbpedia.org/resource/University_of_Exeter	University of Exeter	University of Exeter	2164	315	14,6%
59	http://dbpedia.org/resource/University_of_California,_Riverside	University of California, Riverside	University of California, Riverside	2921	425	14,6%
60	http://dbpedia.org/resource/University_of_Wisconsin_Law_School	University of Wisconsin, Madison	University of Wisconsin, Madison	11501	1670	14,5%
61	http://dbpedia.org/resource/Baylor_College_of_Medicine	Baylor College of Medicine	Baylor College of Medicine	4815	698	14,5%
62	http://dbpedia.org/resource/University_of_Edinburgh	University of Edinburgh	University of Edinburgh	6463	935	14,5%
63	http://dbpedia.org/resource/University_of_Basel	University of Basel	University of Basel	3829	554	14,5%
64	http://dbpedia.org/resource/Vrije_Universiteit	VU University Amsterdam	VU University Amsterdam	6495	938	14,4%
65	http://dbpedia.org/resource/University_of_Dundee	University of Dundee	University of Dundee	1905	275	14,4%
66	http://dbpedia.org/resource/University_of_Pittsburgh	University of Pittsburgh	University of Pittsburgh	10902	1571	14,4%
67	http://dbpedia.org/resource/ETH_Zurich	University of Zurich	University of Zurich	6818	979	14,4%
68	http://dbpedia.org/resource/University_of_Illinois_School_of_Architecture	University of Illinois, Urbana-Champaign	University of Illinois, Urbana-Champaign	9140	1307	14,3%
69	http://dbpedia.org/resource/Vanderbilt_University	Vanderbilt University	Vanderbilt University	7194	1025	14,3%
70	http://dbpedia.org/resource/Tufts_University	Tufts University	Tufts University	3451	489	14,2%
71	http://dbpedia.org/resource/Technical_University_Munich	Technische Universität München	Technische Universität München	5733	811	14,2%
72	http://dbpedia.org/resource/University_of_California,_Davis	University of California, Davis	University of California, Davis	10318	1460	14,1%
73	http://dbpedia.org/resource/Technical_University_of_Denmark	Technical University of Denmark	Technical University of Denmark	4180	590	14,1%
74	http://dbpedia.org/resource/Case_Western_Reserve_University	Case Western Reserve University	Case Western Reserve University	5046	712	14,1%
75	http://dbpedia.org/resource/University_of_Maryland,_College_Park	University of Maryland, College Park	University of Maryland, College Park	6195	872	14,1%
76	http://dbpedia.org/resource/Oregon_Health_&_Science_University	Oregon Health & Science University	Oregon Health & Science University	3355	471	14,0%
77	http://dbpedia.org/resource/Utrecht_University	Utrecht University	Utrecht University	8545	1197	14,0%
78	http://dbpedia.org/resource/York_University	University of York	University of York	2567	359	14,0%
79	http://dbpedia.org/resource/University_of_Aberdeen	University of Aberdeen	University of Aberdeen	2643	370	14,0%
80	http://dbpedia.org/resource/Trinity_College,_Dublin	Trinity College, Dublin	Trinity College, Dublin	2788	390	14,0%
81	http://dbpedia.org/resource/University_of_Amsterdam	University of Amsterdam	University of Amsterdam	7037	982	14,0%
82	http://dbpedia.org/resource/Brown_University	Brown University	Brown University	4505	628	13,9%
83	http://dbpedia.org/resource/University_of_Warwick	University of Warwick	University of Warwick	3249	452	13,9%
84	http://dbpedia.org/resource/University_of_Oregon	University of Oregon	University of Oregon	1485	206	13,9%
85	http://dbpedia.org/resource/Erasmus_University_Rotterdam	Erasmus University Rotterdam	Erasmus University Rotterdam	6346	879	13,9%
86	http://dbpedia.org/resource/Paris_Descartes_University	Paris Descartes University	Paris Descartes University	3482	482	13,8%
87	http://dbpedia.org/resource/University_of_Toronto	University of Toronto	University of Toronto	19083	2640	13,8%
88	http://dbpedia.org/resource/Yeshiva_University	Yeshiva University	Yeshiva University	3305	457	13,8%
89	http://dbpedia.org/resource/University_of_Minnesota	University of Minnesota, Twin Cities	University of Minnesota, Twin Cities	11403	1573	13,8%
90	http://dbpedia.org/resource/University_of_Plymouth	Plymouth University	Plymouth University	1258	171	13,6%
91	http://dbpedia.org/resource/Paris_Diderot_University	Paris Diderot University	Paris Diderot University	3793	513	13,5%
92	http://dbpedia.org/resource/University_of_East_Anglia	University of East Anglia	University of East Anglia	1938	262	13,5%
93	http://dbpedia.org/resource/Wageningen_University_and_Research_Centre	Wageningen University and Research Centre	Wageningen University and Research Centre	4185	564	13,5%
94	http://dbpedia.org/resource/Eindhoven_University_of_Technology	Eindhoven University of Technology	Eindhoven University of Technology	3081	415	13,5%
95	http://dbpedia.org/resource/University_of_Colorado_Denver	University of Colorado, Denver	University of Colorado, Denver	4852	654	13,5%
96	http://dbpedia.org/resource/University_of_Texas_Health_Science_Center_at_Houston	University of Texas Health Science Center, Houston	University of Texas Health Science Center, Houston	2549	343	13,5%
97	http://dbpedia.org/resource/Radboud_University_Nijmegen	Radboud University Nijmegen	Radboud University Nijmegen	5935	799	13,5%
98	http://dbpedia.org/resource/Nanyang_Technological_University	Nanyang Technological University	Nanyang Technological University	7331	986	13,5%
99	http://dbpedia.org/resource/Rutgers_University	Rutgers State University, New Brunswick	Rutgers State University, New Brunswick	4558	611	13,4%
100	http://dbpedia.org/resource/University_of_Utah	University of Utah	University of Utah	5969	800	13,4%
101	http://dbpedia.org/resource/Stony_Brook_University	Stony Brook University, The State University of New York	Stony Brook University, The State University of New York	3342	446	13,3%
102	http://dbpedia.org/resource/University_of_Twente	University of Twente	University of Twente	2630	350	13,3%
103	http://dbpedia.org/resource/University_of_Delaware	University of Delaware	University of Delaware	2874	381	13,3%
104	http://dbpedia.org/resource/Australian_National_University	Australian National University	Australian National University	4385	582	13,3%
105	http://dbpedia.org/resource/University_of_Virginia	University of Virginia	University of Virginia	5509	728	13,2%
106	http://dbpedia.org/resource/University_of_Texas_System	University of Texas Health Science Center, San Antonio	University of Texas Health Science Center, San Antonio	2034	268	13,2%
107	http://dbpedia.org/resource/University_of_Freiburg	University of Freiburg	University of Freiburg	4386	577	13,2%
108	http://dbpedia.org/resource/Durham_University	Durham University	Durham University	2641	347	13,2%
109	http://dbpedia.org/resource/University_of_British_Columbia	University of British Columbia	University of British Columbia	11601	1525	13,1%
110	http://dbpedia.org/resource/Maastricht_University	Maastricht University	Maastricht University	3979	522	13,1%
111	http://dbpedia.org/resource/Ludwig_Maximilian_University_of_Munich	Ludwig Maximilian University of Munich	Ludwig Maximilian University of Munich	7081	928	13,1%
112	http://dbpedia.org/resource/National_University_of_Singapore	National University of Singapore	National University of Singapore	10387	1361	13,1%
113	http://dbpedia.org/resource/Northeastern_University	Northeastern University, USA	Northeastern University, USA	1717	225	13,1%
114	http://dbpedia.org/resource/Pierre_and_Marie_Curie_University	Pierre-and-Marie-Curie University	Pierre-and-Marie-Curie University	7571	989	13,1%
115	http://dbpedia.org/resource/Katholieke_Universiteit_Leuven	Katholieke Universiteit Leuven	Katholieke Universiteit Leuven	7851	1020	13,0%
116	http://dbpedia.org/resource/University_of_M%C3%BCnster	University of Münster	University of Münster	4043	523	12,9%
117	http://dbpedia.org/resource/University_of_Glasgow	University of Glasgow	University of Glasgow	4303	556	12,9%
118	http://dbpedia.org/resource/University_of_Leeds	University of Leeds	University of Leeds	4858	628	12,9%
119	http://dbpedia.org/resource/McGill_University	McGill University	McGill University	9444	1216	12,9%
